index    U_ins  U_ierr   U_std  U_serr   B_ins  B_ierr   B_std  B_serr   V_ins  V_ierr   V_std  V_serr   I_ins  I_ierr   I_std  I_serr
     4 12.9741  0.0043 16.5030  0.0243 11.7616  0.0023 14.1187  0.0034  9.1889  0.0026 12.2330  0.0011  8.9303  0.0027 10.1435  0.0008
     6 13.9426  0.0084 17.2714  0.0510 12.9979  0.0049 15.2895  0.0079 10.4227  0.0017 13.3879  0.0020  9.0196  0.0024 10.2168  0.0008
     8 13.9434  0.0065 17.4961  0.0589 12.6458  0.0039 15.0568  0.0068  9.9715  0.0013 13.0973  0.0017  9.1849  0.0080 10.4194  0.0009
     9 13.1724  0.0052 16.6093  0.0272 11.9629  0.0025 14.3447  0.0040  9.4452  0.0010 12.5069  0.0012  9.0693  0.0021 10.3096  0.0009
    10  7.5050  0.0009 99.9999 99.9999  8.0848  0.0013 99.9999 99.9999  7.3690  0.0009 99.9999 99.9999  8.7950  0.0028  9.5721  0.0008
    11 10.4595  0.0014 99.9999 99.9999 10.2189  0.0015 12.7501  0.0014  8.3809  0.0070 11.4666  0.0007  8.8113  0.0027 10.1418  0.0008
    12 10.6094  0.0012 13.9683  0.0034 10.5427  0.0011 13.0059  0.0016  8.7544  0.0012 11.7966  0.0009  9.3013  0.0027 10.5235  0.0010
    13 99.9999 99.9999 10.0764  0.0004  7.7814  0.0017 10.3937  0.0004  7.3055  0.0018 10.3165  0.0004  8.9000  0.0056 10.1192  0.0008
    15 10.4533  0.0013 13.8026  0.0030 10.5121  0.0012 12.9870  0.0016  8.8002  0.0022 11.8379  0.0009  9.3408  0.0033 10.5692  0.0010
    16 15.0656  0.0157 18.1462  0.1191 14.9935  0.0156 17.3708  0.0464 12.4616  0.0043 15.5658  0.0086  9.3563  0.0019 10.6128  0.0010
    17 14.4170  0.0101 18.0046  0.0930 13.0060  0.0044 15.3678  0.0085 10.2760  0.0013 13.3604  0.0020  9.6402  0.0045 10.8993  0.0012
    19 16.1959  0.0373 18.8897  0.2294 14.8277  0.0133 17.0447  0.0371 11.7091  0.0027 14.7965  0.0049  9.6739  0.0018 10.9213  0.0012
    23 13.7263  0.0064 17.2624  0.0497 12.5129  0.0031 14.8985  0.0059  9.9713  0.0011 13.0336  0.0016  9.7487  0.0016 10.9989  0.0012
    26 15.1264  0.0171 18.0610  0.1086 14.4292  0.0129 16.7131  0.0263 11.9082  0.0040 14.8949  0.0053  9.8048  0.0021 11.0096  0.0012
    29 13.4292  0.0051 16.9433  0.0373 12.3683  0.0029 14.7754  0.0053  9.9618  0.0009 13.0146  0.0016  9.8684  0.0017 11.1223  0.0013
    30 11.0262  0.0021 14.3484  0.0045 11.1792  0.0022 13.6569  0.0023  9.4627  0.0016 12.5071  0.0012  9.8793  0.0017 11.1200  0.0013
    31  9.4291  0.0009 12.7516  0.0015 10.0552  0.0009 12.6092  0.0012  8.9105  0.0014 11.9577  0.0009  9.9232  0.0014 11.1690  0.0013
    32 11.9931  0.0024 15.3937  0.0105 11.5185  0.0021 13.9704  0.0029  9.5363  0.0009 12.5894  0.0013  9.9286  0.0017 11.1709  0.0013
    35 11.9144  0.0038 15.3484  0.0095 11.4749  0.0023 13.9338  0.0028  9.5128  0.0010 12.5663  0.0013  9.9629  0.0019 11.2183  0.0014
    36 12.9406  0.0045 16.3806  0.0222 12.1388  0.0029 14.5657  0.0045  9.8959  0.0010 12.9605  0.0016 10.0849  0.0019 11.3398  0.0015
    37 14.4179  0.0144 18.0454  0.0990 13.1377  0.0050 15.4828  0.0093 10.5086  0.0017 13.5778  0.0022 10.1259  0.0022 11.3880  0.0015
    39  8.4393  0.0014 11.7327  0.0009  9.3277  0.0018 11.9437  0.0008  8.7247  0.0014 11.7642  0.0009 10.2042  0.0020 11.4422  0.0015
    40 13.2403  0.0055 16.6371  0.0318 12.3958  0.0036 14.8149  0.0055 10.1519  0.0021 13.2084  0.0018 10.2067  0.0021 11.4493  0.0016
    41  8.5269  0.0013 11.8218  0.0009  9.2568  0.0017 11.8780  0.0008  8.6944  0.0046 11.7295  0.0008 10.2289  0.0018 11.4777  0.0016
    42  9.6745  0.0007 12.9809  0.0019 10.4100  0.0011 12.9611  0.0016  9.2757  0.0013 12.3107  0.0012 10.2533  0.0016 11.4822  0.0018
    43 15.9069  0.0294 99.9999 99.9999 14.2923  0.0104 16.5205  0.0238 11.2299  0.0020 14.2396  0.0034 10.2657  0.0019 11.4943  0.0016
    44 12.2198  0.0030 15.5583  0.0113 12.1138  0.0029 14.5239  0.0042 10.2142  0.0014 13.2235  0.0018 10.2688  0.0019 11.4859  0.0016
    45 14.2759  0.0092 17.7669  0.0796 13.0434  0.0044 15.4488  0.0091 10.5485  0.0013 13.6135  0.0023 10.3000  0.0018 11.5480  0.0016
    46  8.3491  0.0014 11.6129  0.0008  9.3049  0.0020 11.9396  0.0008  8.7895  0.0031 11.8160  0.0009 10.3267  0.0017 11.5691  0.0016
    47 15.8842  0.0301 99.9999 99.9999 14.4019  0.0116 16.8732  0.0307 11.5034  0.0026 14.7294  0.0047 10.3617  0.0022 11.6683  0.0017
    48 12.0719  0.0029 15.4567  0.0108 11.7819  0.0022 14.2422  0.0035  9.8988  0.0014 12.9463  0.0016 10.3635  0.0020 11.6146  0.0017
    49 12.1775  0.0030 15.5664  0.0120 11.8879  0.0025 14.3570  0.0038  9.9862  0.0011 13.0440  0.0017 10.4180  0.0021 11.6697  0.0017
    53 15.3408  0.0220 18.8163  0.1981 14.0383  0.0092 16.3320  0.0190 11.2967  0.0022 14.3433  0.0036 10.4437  0.0020 11.6754  0.0017
    55 15.5823  0.0236 18.2262  0.1352 14.2984  0.0105 16.5484  0.0240 11.5930  0.0027 14.6610  0.0047 10.4639  0.0016 11.7048  0.0018
    56 15.9576  0.0301 99.9999 99.9999 15.2797  0.0168 17.5293  0.0537 12.6583  0.0042 15.6298  0.0093 10.4767  0.0016 11.6871  0.0017
    58 16.3008  0.0406 99.9999 99.9999 14.9432  0.0156 17.3332  0.0473 12.0613  0.0032 15.0662  0.0059 10.5058  0.0024 11.7165  0.0018
    59 15.1738  0.0241 18.4254  0.1411 13.8803  0.0123 16.2348  0.0179 11.1641  0.0037 14.2383  0.0034 10.5132  0.0020 11.7593  0.0018
    60 15.8798  0.0285 99.9999 99.9999 14.3701  0.0091 16.7327  0.0281 11.4939  0.0023 14.5633  0.0041 10.5163  0.0021 11.7606  0.0018
    65 11.9596  0.0028 15.3093  0.0094 11.8652  0.0026 14.3313  0.0036 10.0671  0.0015 13.1109  0.0017 10.6016  0.0021 11.8468  0.0019
    67 12.3521  0.0031 15.7511  0.0140 12.1241  0.0028 14.5862  0.0044 10.2342  0.0022 13.2786  0.0019 10.6336  0.0018 11.8827  0.0020
    68 12.8014  0.0038 16.1511  0.0191 12.4663  0.0036 14.9163  0.0057 10.4754  0.0018 13.5202  0.0022 10.6342  0.0045 11.8700  0.0019
    69 16.0036  0.0292 99.9999 99.9999 14.4175  0.0099 16.7235  0.0280 11.4214  0.0022 14.4807  0.0040 10.6558  0.0018 11.8959  0.0020
    71 16.4289  0.0435 99.9999 99.9999 14.8766  0.0140 17.1711  0.0419 11.8901  0.0031 15.0208  0.0058 10.6622  0.0022 11.9390  0.0020
    73  9.7089  0.0014 13.0054  0.0018 10.4340  0.0038 13.0336  0.0015  9.5143  0.0030 12.5657  0.0013 10.6723  0.0025 11.9316  0.0020
    75 13.5357  0.0050 17.1843  0.0503 13.8449  0.0063 16.3905  0.0188 11.7683  0.0026 14.9703  0.0056 10.6871  0.0021 12.0087  0.0021
    76 16.3656  0.0394 99.9999 99.9999 14.7946  0.0124 17.2578  0.0442 11.9333  0.0027 15.0635  0.0060 10.6895  0.0020 11.9576  0.0020
    77 12.3866  0.0031 15.8173  0.0144 12.1880  0.0031 14.6561  0.0046 10.3092  0.0015 13.3585  0.0020 10.7298  0.0023 11.9831  0.0021
    79 15.9341  0.0284 99.9999 99.9999 14.3791  0.0084 16.7460  0.0281 11.5565  0.0025 14.6421  0.0045 10.7567  0.0021 12.0004  0.0021
    81 99.9999 99.9999 99.9999 99.9999 14.4085  0.0095 16.7615  0.0280 11.5986  0.0025 14.6565  0.0045 10.7613  0.0026 12.0091  0.0021
    82 15.5145  0.0248 99.9999 99.9999 14.0841  0.0084 16.4607  0.0218 11.3006  0.0025 14.3688  0.0037 10.7652  0.0022 12.0170  0.0021
    83 12.4613  0.0040 15.7920  0.0146 12.3683  0.0036 14.7873  0.0052 10.4596  0.0018 13.4948  0.0022 10.7797  0.0021 12.0097  0.0021
    84 13.1013  0.0045 16.4998  0.0253 12.5502  0.0031 14.9950  0.0060 10.4998  0.0015 13.5481  0.0022 10.7915  0.0020 12.0360  0.0021
    87 16.8899  0.0687 99.9999 99.9999 15.2465  0.0209 17.5312  0.0580 12.2841  0.0040 15.3374  0.0075 10.7977  0.0019 12.0270  0.0021
    89 14.0464  0.0080 17.5941  0.0658 13.1455  0.0046 15.5460  0.0097 10.7865  0.0015 13.8296  0.0026 10.8271  0.0022 12.0587  0.0022
    92  9.9649  0.0025 13.2741  0.0021 10.4032  0.0017 12.9955  0.0015  9.5730  0.0014 12.6068  0.0013 10.8425  0.0027 12.0819  0.0022
    94 14.6692  0.0114 18.6722  0.1858 13.5558  0.0062 16.0097  0.0146 11.0636  0.0017 14.1249  0.0032 10.8566  0.0019 12.1016  0.0023
    95 16.8285  0.0670 99.9999 99.9999 15.3887  0.0176 17.5607  0.0583 12.5127  0.0037 15.5216  0.0085 10.8633  0.0021 12.0792  0.0022
    96  9.3955  0.0025 12.6979  0.0015 10.0381  0.0007 12.6435  0.0012  9.3912  0.0021 12.4164  0.0013 10.8641  0.0027 12.0906  0.0025
    97 14.2231  0.0086 17.7712  0.0755 13.2915  0.0049 15.6912  0.0107 10.8933  0.0018 13.9475  0.0028 10.8693  0.0022 12.1118  0.0022
    98 16.2380  0.0341 99.9999 99.9999 14.8008  0.0126 17.1858  0.0405 12.0113  0.0032 15.1063  0.0061 10.8747  0.0023 12.1271  0.0022
    99 13.0289  0.0044 16.5173  0.0264 12.6770  0.0038 15.1225  0.0066 10.6530  0.0014 13.7093  0.0024 10.8748  0.0018 12.1277  0.0022
